mid,radiant_won
3,0.6716509401811611
7,0.8209061610108223
9,0.17075504291008858
10,0.5551515584547841
12,0.377689855890389
13,0.1796814361236978
14,0.5254983440799395
15,0.37306095005035583
16,0.34906287071877207
17,0.26156261288942095
18,0.7878528016950908
19,0.22348565985371807
21,0.5705071156575182
22,0.9038154745506313
23,0.8423785264551799
24,0.7914296359113893
25,0.8262409505227386
29,0.651367262501344
32,0.7656258138196478
33,0.632826829529646
34,0.7895824321069452
36,0.2998552774677107
38,0.9499004905307845
39,0.3969924485714515
40,0.7476162408804472
41,0.390135223449214
42,0.7268150444542155
44,0.28696490225865606
45,0.8852939890414079
46,0.49732154962606384
47,0.3854996117738336
50,0.249297837286192
51,0.07930820345648625
54,0.5814360522272196
60,0.41079767097138414
72,0.1265740737781328
75,0.7427984163256168
78,0.5703577246891036
80,0.1371736774793558
86,0.7173430669309363
87,0.8024407231325261
89,0.5524833001035347
91,0.791599766320295
94,0.40600385308070147
103,0.33138909053905036
105,0.7771720935877263
106,0.3327408405935648
108,0.6587697798027391
109,0.7042091419652812
112,0.4269028593124204
114,0.6406938042283773
115,0.30427513106877785
116,0.8261178124709677
118,0.5588497384633725
123,0.6492960836655651
126,0.9054171681267229
127,0.6329768399944584
129,0.6451826536780261
131,0.9414124062873547
132,0.853361278114825
135,0.7227038894347527
136,0.44890605973072556
138,0.41756070645568544
139,0.3963593536228361
140,0.3909279036110189
143,0.6874899553225317
144,0.26152418387216064
145,0.6878906539093222
146,0.846383292992184
147,0.908298565532042
150,0.3527807508313276
155,0.19574760620518133
159,0.8243004470466859
160,0.5368334532295569
162,0.4437900675429929
166,0.3879375071119234
168,0.1966465230785039
170,0.3248910375592237
172,0.2730156700039194
174,0.7930134221042048
180,0.19832020996063712
181,0.457488078757649
182,0.7682032979557715
183,0.2369060538936283
184,0.6649079706560845
185,0.8940732956839456
186,0.6612241950932758
188,0.4346717091179821
189,0.8327788739483517
192,0.3775295870287388
193,0.5103001552394091
195,0.23929504961079145
197,0.8770379756101974
201,0.3671785986016176
202,0.6502447147231404
203,0.1512914316668598
206,0.5368064593266929
208,0.9307406235542749
212,0.7933490483400272
215,0.40018706360575584
218,0.3394368189346897
220,0.6691535085515933
221,0.08052976776881623
222,0.4122422545357476
223,0.3310339112668525
224,0.21553847887735791
228,0.7315565572225657
229,0.6895682843388555
231,0.7484481870659745
232,0.5990143793986269
235,0.5327601505292573
240,0.8341267374718448
242,0.3029479741891642
247,0.16876754849375347
249,0.5853379769034002
251,0.0890028287973717
252,0.8188751218202094
253,0.0571976604666453
254,0.8714265546528767
255,0.8931965224831273
260,0.6616520016604963
262,0.1092048570629199
263,0.3094125770691407
264,0.7331987314435061
265,0.6185706408039369
266,0.5262038806399891
268,0.07636183909818431
270,0.5044844682481424
274,0.8234263492369128
275,0.05457774586302837
278,0.7724161141873637
282,0.43675152093077874
283,0.3176593358703765
289,0.4241313929888281
290,0.3047364682305156
292,0.3369782048237364
297,0.46271941011711
298,0.17873789582417574
300,0.6956912561285131
302,0.13045150795105828
303,0.8437576740095929
305,0.3709354077906433
306,0.4838640267582896
309,0.009174601066023073
310,0.5880065710475633
311,0.17625885678009592
312,0.9275458635948248
316,0.6638491747009443
317,0.15452158999126495
318,0.6167483896507325
319,0.45274324154283285
322,0.2742240350920028
325,0.12991889541964485
327,0.5673648437443841
328,0.16151307023467204
330,0.9125529890863914
331,0.4111770191259768
332,0.185501012585143
333,0.8259975893829339
334,0.13185694710382076
335,0.8023497896419675
336,0.7886940891546468
338,0.7017960726582235
340,0.5710623433497046
341,0.18949193981210655
342,0.8466532461276802
345,0.651379230480897
348,0.1834789759482197
350,0.22472621214263877
351,0.7503939305976324
353,0.5984865034057137
358,0.6725641076970582
359,0.3885358873288092
360,0.7071760769382328
365,0.2852881856078704
368,0.34044880018479645
369,0.9364929472716755
370,0.738081849572439
371,0.16852396904424213
372,0.369537590202988
374,0.857747593871023
377,0.5882552703493136
379,0.7347012873143028
380,0.1526040820309439
382,0.4501213548414106
383,0.7358734407817613
386,0.41830087719816467
388,0.597232385280235
390,0.46716076080960833
391,0.3732175422433097
393,0.9135058860490815
394,0.2698706996561077
395,0.3339083974655761
399,0.4002571749823065
400,0.4941358102180105
402,0.48222577321985477
404,0.8095418156255215
405,0.7158639557248144
408,0.12444028174260613
409,0.5381741366036047
412,0.4895525767503569
413,0.7409128874794958
417,0.943400812548146
420,0.34109668420374933
421,0.6136906853704686
422,0.3902363750452766
423,0.2316431135817497
425,0.15177571712134366
428,0.42914657970860653
435,0.4624882922009649
440,0.18769818902097765
441,0.3650026914162005
442,0.46634749712763973
445,0.6976073605071378
446,0.685658863521583
447,0.3131044325642367
449,0.5788735961496098
452,0.6375322771190501
453,0.8364041913893067
454,0.5758104234335353
455,0.3301541163865074
457,0.24379319685750236
458,0.7249987220999616
459,0.4575505050219781
460,0.4009607746079914
461,0.5542732622816204
463,0.7549407516137179
466,0.8979665208399378
468,0.8241354064863735
476,0.4453840311281249
477,0.37145196801001984
478,0.21951369903247078
479,0.8791889791240344
480,0.7945656130157459
483,0.7292893414323302
484,0.5059199121851953
487,0.8561783359164957
489,0.7115240138315294
492,0.36049796973139947
493,0.19415591529838452
495,0.6492367666589353
498,0.24415660093634703
502,0.8153052073507424
503,0.48842046816323725
506,0.30890237738966514
507,0.10875974957718415
511,0.3705539976982379
514,0.38464877753330395
517,0.847929220562998
518,0.20159119138688084
522,0.803811640842675
523,0.8005173637286087
526,0.8819757519054993
531,0.6175745628670658
541,0.35844028547142753
542,0.2950039481979337
544,0.7372074729428617
545,0.7963445226240236
